('utt234', 'utt347')
('utt134', 'utt339')
('utt40', 'utt210')
('utt22', 'utt305')
('utt301', 'utt263')
('utt364', 'utt42')
('utt139', 'utt277')
('utt271', 'utt27')
('utt371', 'utt173')
('utt272', 'utt68')
('utt366', 'utt275')
('utt360', 'utt241')
('utt343', 'utt168')
('utt159', 'utt67')
('utt276', 'utt158')
('utt9', 'utt137')
('utt264', 'utt226')
('utt164', 'utt175')
('utt174', 'utt269')
('utt100', 'utt47')
('utt350', 'utt256')
('utt244', 'utt286')
('utt297', 'utt114')
('utt60', 'utt124')
('utt290', 'utt4')
('utt3', 'utt102')
('utt206', 'utt215')
('utt291', 'utt2')
('utt6', 'utt152')
('utt292', 'utt238')
('utt214', 'utt304')
('utt52', 'utt30')
('utt325', 'utt381')
('utt146', 'utt270')
('utt309', 'utt176')
('utt253', 'utt234')
('utt313', 'utt338')
('utt209', 'utt8')
('utt167', 'utt280')
('utt233', 'utt220')
('utt136', 'utt81')
('utt221', 'utt125')
('utt202', 'utt7')
('utt170', 'utt219')
('utt218', 'utt121')
('utt273', 'utt140')
('utt61', 'utt71')
('utt95', 'utt18')
('utt252', 'utt268')
('utt318', 'utt14')
('utt189', 'utt356')
('utt293', 'utt54')
('utt28', 'utt207')
('utt61', 'utt342')
('utt312', 'utt59')
('utt199', 'utt217')
('utt323', 'utt5')
('utt300', 'utt213')
('utt89', 'utt203')
('utt193', 'utt367')
('utt285', 'utt31')
('utt195', 'utt182')
('utt51', 'utt236')
('utt358', 'utt135')
('utt204', 'utt141')
('utt362', 'utt79')
('utt345', 'utt101')
('utt43', 'utt19')
('utt78', 'utt195')
('utt298', 'utt65')
('utt138', 'utt1')
('utt222', 'utt372')
('utt278', 'utt105')
('utt230', 'utt250')
('utt320', 'utt161')
('utt32', 'utt375')
('utt311', 'utt314')
('utt151', 'utt257')
('utt101', 'utt279')
('utt153', 'utt380')
('utt55', 'utt322')
('utt106', 'utt265')
('utt129', 'utt266')
('utt377', 'utt36')
('utt157', 'utt192')
('utt341', 'utt130')
('utt13', 'utt357')
('utt228', 'utt110')
('utt296', 'utt187')
('utt73', 'utt49')
('utt33', 'utt169')
('utt271', 'utt148')
('utt46', 'utt361')
('utt284', 'utt302')
('utt229', 'utt162')
('utt326', 'utt352')
('utt62', 'utt11')
('utt294', 'utt315')
('utt144', 'utt172')
('utt354', 'utt223')
('utt147', 'utt23')
('utt88', 'utt191')
('utt319', 'utt288')
('utt45', 'utt103')
('utt349', 'utt336')
('utt133', 'utt370')
('utt39', 'utt281')
('utt295', 'utt127')
('utt163', 'utt86')
('utt10', 'utt41')
