('utt332', 'utt335')
('utt21', 'utt12')
('utt111', 'utt109')
('utt333', 'utt340')
('utt186', 'utt197')
('utt197', 'utt191')
('utt205', 'utt201')
('utt124', 'utt126')
('utt37', 'utt25')
('utt146', 'utt160')
('utt267', 'utt269')
('utt91', 'utt84')
('utt243', 'utt242')
('utt287', 'utt282')
('utt274', 'utt289')
('utt117', 'utt132')
('utt237', 'utt235')
('utt376', 'utt365')
('utt118', 'utt119')
('utt38', 'utt26')
('utt92', 'utt76')
('utt180', 'utt181')
('utt80', 'utt85')
('utt108', 'utt107')
('utt232', 'utt231')
('utt53', 'utt57')
('utt29', 'utt24')
('utt17', 'utt20')
('utt112', 'utt115')
('utt143', 'utt142')
('utt106', 'utt104')
('utt321', 'utt330')
('utt299', 'utt306')
('utt359', 'utt378')
('utt179', 'utt178')
('utt216', 'utt227')
('utt70', 'utt75')
('utt251', 'utt258')
('utt116', 'utt113')
('utt337', 'utt334')
('utt331', 'utt336')
('utt247', 'utt246')
('utt373', 'utt368')
('utt99', 'utt98')
('utt87', 'utt83')
('utt97', 'utt82')
('utt90', 'utt77')
('utt310', 'utt308')
('utt66', 'utt50')
('utt348', 'utt346')
('utt149', 'utt145')
('utt43', 'utt44')
('utt248', 'utt249')
('utt69', 'utt72')
('utt379', 'utt363')
('utt188', 'utt184')
('utt212', 'utt211')
('utt171', 'utt177')
('utt369', 'utt374')
('utt94', 'utt93')
('utt260', 'utt259')
('utt134', 'utt122')
('utt96', 'utt94')
('utt166', 'utt165')
('utt48', 'utt58')
('utt73', 'utt74')
('utt131', 'utt123')
('utt35', 'utt34')
('utt254', 'utt255')
('utt353', 'utt355')
('utt327', 'utt324')
('utt128', 'utt120')
('utt261', 'utt262')
('utt240', 'utt247')
('utt185', 'utt198')
('utt303', 'utt307')
('utt63', 'utt64')
('utt224', 'utt225')
('utt154', 'utt155')
('utt190', 'utt208')
('utt196', 'utt194')
('utt328', 'utt329')
('utt56', 'utt65')
('utt15', 'utt16')
('utt200', 'utt183')
('utt156', 'utt150')
('utt317', 'utt316')
('utt283', 'utt291')
('utt351', 'utt344')
('utt245', 'utt239')
